ID,Name,Grid,Easting,Northing,Lat,Lon
1,Ben Nevis (Beinn Nibheis),NN166712,216600,771200,56.796088,-5.0047120
2,Ben Macdui (Beinn Macduibh),NN988989,298800,798900,57.069971,-3.6707142
3,Braeriach (Am Bràigh Riabhach),NN953999,295300,799900,57.078168,-3.7288277
4,Cairn Toul (Càrn an t-Sabhail),NN963972,296300,797200,57.054150,-3.7112231
5,Sgor an Lochain Uaine,NN954976,295400,797600,57.057539,-3.7262195
6,Cairn Gorm (An Càrn Gorm),NJ005040,300500,804000,57.116137,-3.6447166
7,Aonach Beag,NN197715,219700,771500,56.799991,-4.9542398
8,Aonach Mòr,NN193729,219300,772900,56.812396,-4.9617716
9,Càrn Mòr Dearg,NN177721,217700,772100,56.804595,-4.9873704
10,Ben Lawers (Beinn Labhair),NN635414,263500,741400,56.544702,-4.2217107
11,Beinn a' Bhùird,NJ092006,309200,800600,57.087407,-3.4998747
12,Beinn Mheadhoin,NJ024016,302400,801600,57.094994,-3.6124189
13,Càrn Eige,NH123261,212300,826100,57.286830,-5.1160039
14,Mam Sodhail,NH120253,212000,825300,57.279531,-5.1203653
15,Stob Choire Claurigh (Stob Choire Clamhraidh),NN261738,226100,773800,56.823063,-4.8511499
16,Ben More (A' Bheinn Mhòr),NN432244,243200,724400,56.385789,-4.5413166
17,Ben Avon (Beinn Athfhinn),NJ131018,313100,801800,57.098936,-3.4359630
18,Stob Binnein,NN434227,243400,722700,56.370597,-4.5370658
19,Beinn Bhrotain,NN954922,295400,792200,57.009051,-3.7239721
20,Lochnagar (Beinn Chìochan),NO243861,324300,786100,56.959915,-3.2464249
21,Derry Cairngorm (Càrn Gorm an Doire),NO017980,301700,798000,57.062518,-3.6225541
22,Sgurr na Lapaich,NH161351,216100,835100,57.369105,-5.0597656
23,Sgurr nan Ceathreamhnan,NH057228,205700,822800,57.254474,-5.2227294
24,Bidean nam Bian,NN143542,214300,754200,56.642669,-5.0300142
25,Ben Alder (Beinn Eallair),NN496718,249600,771800,56.813311,-4.4653344
26,Geal-Chàrn,NN469746,246900,774600,56.837559,-4.5111977
27,Ben Lui (Beinn Laoigh),NN266262,226600,726200,56.396143,-4.8110328
28,Binnein Mòr,NN212663,221200,766300,56.753916,-4.9260759
29,An Riabhachan,NH133344,213300,834400,57.361687,-5.1057191
30,Creag Meagaidh,NN418875,241800,787500,56.951617,-4.6027428
31,Ben Cruachan,NN069304,206900,730400,56.426180,-5.1327995
32,Meall Garbh,NN644437,264400,743700,56.565611,-4.2082877
33,Beinn a' Ghló - Càrn nan Gabhar,NN971733,297100,773300,56.839723,-3.6883101
34,A' Chraileag (A' Chràlaig),NH094147,209400,814700,57.183380,-5.1552849
35,An Stuc,NN638431,263800,743100,56.560051,-4.2177282
36,Sgor Gaoith,NN903989,290300,798900,57.068024,-3.8108275
37,Stob Coire an Laoigh,NN239725,223900,772500,56.810572,-4.8862500
38,Aonach Beag,NN457741,245700,774100,56.832675,-4.5305432
